recipe_name,ingredients,quantity
Бефстроганов классический,"Мясо говядины (филейная часть, кострец)",500 г
Бефстроганов классический,Лук репчатый крупный,1 шт.
Бефстроганов классический,Мука,2 ч. ложки
Бефстроганов классический,Сметана,2-3 полных ст. ложки
Бефстроганов классический,Масло растительное,для жарки
Бефстроганов классический,Зелень укропа,по вкусу
Красный борщ с фасолью и черносливом,Вода (или бульон),"2-2,5 л"
Красный борщ с фасолью и черносливом,Свекла,1 шт.
Красный борщ с фасолью и черносливом,Фасоль,"0,5 стакана"
Красный борщ с фасолью и черносливом,Капуста белокочанная,200-300 г
Красный борщ с фасолью и черносливом,Лук репчатый,1 шт.
Красный борщ с фасолью и черносливом,Морковь,1 шт.
Красный борщ с фасолью и черносливом,Картофель,2-3 шт.
Красный борщ с фасолью и черносливом,Корень сельдерея,50 г
Красный борщ с фасолью и черносливом,Корень петрушки,50 г
Красный борщ с фасолью и черносливом,Чернослив,6-8 шт.
Красный борщ с фасолью и черносливом,Томатная паста,1-2 ст. ложки
Красный борщ с фасолью и черносливом,Перец черный молотый,по вкусу
Красный борщ с фасолью и черносливом,Соль,по вкусу
Красный борщ с фасолью и черносливом,Перец сладкий,"0,5-1 шт."
Красный борщ с фасолью и черносливом,Сахар,1 ч. ложка
Красный борщ с фасолью и черносливом,Лавровый лист,1 шт.
Красный борщ с фасолью и черносливом,Зелень,по вкусу
Красный борщ с фасолью и черносливом,Растительное масло,6 ст. ложек
